UserId,IsChurned,Cluster,SubsPlanSent,SubsPlanAccepted,SubsPlanProposed,SubsPlanChosen,IsSubsPlanActive,DateLastSubsProposal
118,False,0.0,False,False,0,0,0,2000-01-01
119,False,3.0,False,False,0,0,0,2000-01-01
120,False,2.0,False,False,0,0,0,2000-01-01
121,False,-1.0,False,False,0,0,0,2000-01-01
122,False,2.0,False,False,0,0,0,2000-01-01
123,False,1.0,False,False,0,0,0,2000-01-01
124,False,2.0,False,False,0,0,0,2000-01-01
125,False,2.0,False,False,0,0,0,2000-01-01
126,False,2.0,False,False,0,0,0,2000-01-01
127,False,2.0,False,False,0,0,0,2000-01-01
128,False,2.0,False,False,0,0,0,2000-01-01
129,False,2.0,False,False,0,0,0,2000-01-01
130,False,2.0,False,False,0,0,0,2000-01-01
131,False,1.0,False,False,0,0,0,2000-01-01
132,False,3.0,False,False,0,0,0,2000-01-01
133,False,2.0,False,False,0,0,0,2000-01-01
134,False,3.0,False,False,0,0,0,2000-01-01
135,False,2.0,False,False,0,0,0,2000-01-01
136,False,2.0,False,False,0,0,0,2000-01-01
137,False,2.0,False,False,0,0,0,2000-01-01
138,False,1.0,False,False,0,0,0,2000-01-01
139,False,0.0,False,False,0,0,0,2000-01-01
140,False,2.0,False,False,0,0,0,2000-01-01
141,False,2.0,False,False,0,0,0,2000-01-01
142,False,2.0,False,False,0,0,0,2000-01-01
143,False,0.0,False,False,0,0,0,2000-01-01
144,False,2.0,False,False,0,0,0,2000-01-01
145,False,2.0,False,False,0,0,0,2000-01-01
146,False,3.0,False,False,0,0,0,2000-01-01
147,False,2.0,False,False,0,0,0,2000-01-01
148,False,2.0,False,False,0,0,0,2000-01-01
149,False,2.0,False,False,0,0,0,2000-01-01
150,False,2.0,False,False,0,0,0,2000-01-01
151,False,2.0,False,False,0,0,0,2000-01-01
152,False,2.0,False,False,0,0,0,2000-01-01
153,False,3.0,False,False,0,0,0,2000-01-01
154,False,2.0,False,False,0,0,0,2000-01-01
155,False,3.0,False,False,0,0,0,2000-01-01
156,False,0.0,False,False,0,0,0,2000-01-01
157,False,2.0,False,False,0,0,0,2000-01-01
158,False,3.0,False,False,0,0,0,2000-01-01
159,False,-1.0,False,False,0,0,0,2000-01-01
160,False,2.0,False,False,0,0,0,2000-01-01
161,False,-1.0,False,False,0,0,0,2000-01-01
162,False,2.0,False,False,0,0,0,2000-01-01
163,False,3.0,False,False,0,0,0,2000-01-01
164,False,3.0,False,False,0,0,0,2000-01-01
165,False,-1.0,False,False,0,0,0,2000-01-01
166,False,0.0,False,False,0,0,0,2000-01-01
167,False,2.0,False,False,0,0,0,2000-01-01
168,False,3.0,False,False,0,0,0,2000-01-01
169,False,2.0,False,False,0,0,0,2000-01-01
170,False,2.0,False,False,0,0,0,2000-01-01
171,False,0.0,False,False,0,0,0,2000-01-01
172,False,3.0,False,False,0,0,0,2000-01-01
173,False,3.0,False,False,0,0,0,2000-01-01
174,False,2.0,False,False,0,0,0,2000-01-01
175,False,2.0,False,False,0,0,0,2000-01-01
176,False,1.0,False,False,0,0,0,2000-01-01
177,False,3.0,False,False,0,0,0,2000-01-01
178,False,0.0,False,False,0,0,0,2000-01-01
179,False,0.0,False,False,0,0,0,2000-01-01
180,False,3.0,False,False,0,0,0,2000-01-01
181,False,0.0,False,False,0,0,0,2000-01-01
182,False,2.0,False,False,0,0,0,2000-01-01
183,False,2.0,False,False,0,0,0,2000-01-01
184,False,2.0,False,False,0,0,0,2000-01-01
185,False,3.0,False,False,0,0,0,2000-01-01
186,False,-1.0,False,False,0,0,0,2000-01-01
187,False,-1.0,False,False,0,0,0,2000-01-01
188,False,2.0,False,False,0,0,0,2000-01-01
189,False,2.0,False,False,0,0,0,2000-01-01
190,False,2.0,False,False,0,0,0,2000-01-01
191,False,3.0,False,False,0,0,0,2000-01-01
192,False,-1.0,False,False,0,0,0,2000-01-01
193,False,2.0,False,False,0,0,0,2000-01-01
