ProductId,FullName,Price,ProductPopularity,ProductReorderRate,OftenBoughtWith
78,"Adult Cats with Veal - сухий корм з телятиною для дорослих котів (4,5 кг)",870,26,2.0,150.0
149,"Adult Cats Sterilised - сухий корм для стерилізованих кішок (4,5 кг)",990,36,2.0,56.0
156,"Adult Cats with Salmon - сухий корм з лососем для дорослих котів (4,5 кг)",870,25,2.0,148.0
157,"Adult Cats Hairball Control - сухий корм з ефектом виведення шерсті з травного тракту у котів (4,5 кг)",990,13,,12.0
152,"Adult Cats Chicken - сухий корм з куркою для дорослих котів (4,5 кг)",870,32,3.0,150.0
162,"Kittens Chicken - cухий корм з куркою для кошенят (4,5 кг)",810,11,,20.0
160,Selection вологий корм для дорослих котів - шматочки з кроликом та індичкою в соусі (80 г),324,108,9.0,147.0
148,Adult Cats Hairball Control - сухий корм з ефектом виведення шерсті з травного тракту у котів (5 кг),602,43,4.0,13.0
161,Adult Cats Indoor 4 in 1 - сухий корм для котів без доступу на вулицю (5 кг),602,35,2.0,155.0
150,Епікур вологий корм для дорослих стерилізованих котів з куркою у соусі (80 г),300,32,2.0,13.0
86,Епікур вологий корм з куркою в соусі для дорослих котів з ефектом виведення шерсті (80 г),300,15,3.0,159.0
158,"Епікур вологий корм з куркою у соусі, для дорослих котів з чутливим травленням (80 г)",150,6,,158.0
151,Епікур вологий корм для кошенят з куркою у соусі (80 г),300,28,2.0,9.0
153,Adult Cats Sensitive Digestion - сухий корм для котів з чутливим травленням (5 кг),602,26,4.0,79.0
159,Adult Cats Sterilised - сухий корм для стерилізованих кішок (5 кг),602,28,3.0,155.0
163,"Adult Cats Indoor 4 in 1 - сухий корм для котів без доступу на вулицю (2,4 кг)",258,1,,
