UserId,DaysSinceLastPurchase,DayOfWeek,Hour,OrdersCount,TotalSpent,AveragePurchaseValue,PurchaseFreq,PreferedProduct,TotalItemsPurchased,OrderSize,LT,IsChurned,Cluster
112,1,Tuesday,8,6,4426.4,737.7333333333332,0.994475138121547,47,124,2.8181818181818183,151,False,-1.0
113,1,Tuesday,5,1,1381.0,1381.0,1.0,33,1,1.0,0,False,0.0
114,1,Tuesday,1,8,6575.51,821.93875,0.9375,107,69,3.8333333333333335,226,False,2.0
115,1,Thursday,16,18,30896.180000000004,1716.4544444444446,0.9310344827586208,32,29,1.2608695652173914,550,False,-1.0
116,1,Sunday,0,11,6198.08,563.4618181818182,1.2941176470588236,35,159,8.833333333333334,225,False,-1.0
117,1,Tuesday,23,7,14982.0,2140.285714285714,0.9952606635071092,108,245,18.846153846153847,181,False,-1.0
118,1,Saturday,1,6,8511.9,1418.65,1.0465116279069768,20,82,5.466666666666668,142,False,2.0
119,1,Tuesday,0,3,2535.0,845.0,1.1538461538461535,15,30,3.75,48,False,2.0
120,1,Monday,0,3,1493.64,497.88,0.5294117647058824,2,4,1.0,140,False,1.0
121,1,Monday,0,3,1233.52,411.17333333333335,0.7200000000000001,103,17,4.25,95,False,1.0
122,1,Friday,22,4,10887.0,2721.75,0.2294455066921606,62,10,2.5,493,False,1.0
123,1,Tuesday,13,5,4184.88,836.9760000000001,0.8108108108108107,32,7,1.4,155,False,1.0
124,1,Monday,11,3,6048.72,2016.24,0.2284263959390863,47,86,7.166666666666668,364,False,2.0
125,1,Monday,23,1,1159.0,1159.0,1.0,56,1,1.0,0,False,0.0
126,1,Monday,0,3,3251.0,1083.6666666666667,0.4736842105263158,59,3,1.0,160,False,1.0
127,1,Monday,13,2,1935.74,967.87,1.0,5,4,1.0,30,False,0.0
128,1,Monday,9,7,2992.4700000000007,427.4957142857143,0.6176470588235293,128,7,1.0,310,False,1.0
129,1,Monday,22,6,2720.78,453.4633333333333,1.1920529801324504,4,6,1.0,121,False,3.0
130,1,Monday,21,2,1129.58,564.79,1.0909090909090908,61,12,3.0,25,False,0.0
131,1,Monday,22,1,383.76,383.76,1.0,10,1,1.0,0,False,0.0
132,1,Friday,13,33,7843.5,237.6818181818182,1.796733212341198,43,36,1.0285714285714285,521,False,-1.0
133,1,Friday,22,5,3250.25,650.05,1.351351351351351,47,91,8.272727272727273,81,False,-1.0
134,1,Sunday,21,6,2088.45,348.075,0.4931506849315069,157,7,1.0,335,False,1.0
135,1,Monday,21,1,274.56,274.56,1.0,38,1,1.0,0,False,0.0
136,1,Monday,18,3,3295.0,1098.3333333333333,0.3125,22,4,1.3333333333333333,258,False,1.0
137,1,Monday,9,3,3430.0,1143.3333333333333,0.41860465116279066,56,5,1.0,185,False,1.0
138,1,Monday,21,1,713.76,713.76,1.0,4,11,5.5,0,False,0.0
139,1,Monday,1,7,18990.0,2712.857142857143,0.457516339869281,113,212,11.157894736842103,429,False,-1.0
140,1,Friday,14,5,2265.82,453.164,1.1029411764705883,4,6,1.0,106,False,3.0
141,1,Monday,21,1,523.0799999999998,523.0799999999998,1.0,31,5,1.25,0,False,0.0
142,1,Monday,12,5,3085.12,617.024,1.851851851851852,20,37,2.055555555555556,51,False,3.0
143,1,Monday,22,3,3855.6,1285.2,0.14018691588785048,13,103,7.9230769230769225,612,False,-1.0
144,1,Friday,12,8,8801.93,1100.24125,0.802675585284281,32,11,1.1,269,False,1.0
145,1,Friday,2,5,9627.06,1925.412,0.2757352941176471,76,14,2.0,514,False,1.0
146,1,Monday,20,5,2111.79,422.358,1.25,10,17,2.833333333333333,90,False,3.0
147,1,Monday,11,11,10657.3,968.8454545454545,0.5015197568389058,22,16,1.0,628,False,-1.0
148,1,Friday,10,2,2537.52,1268.76,0.6741573033707865,82,5,1.0,59,False,1.0
149,1,Monday,8,4,5823.3,1455.825,0.8333333333333334,4,10,1.6666666666666667,114,False,1.0
150,1,Monday,19,10,28700.4,2870.04,1.0791366906474822,103,351,14.625,248,False,-1.0
151,1,Monday,13,2,4178.6,2089.3,0.9230769230769228,34,2,1.0,35,False,0.0
152,1,Monday,9,11,4460.48,405.49818181818176,0.7894736842105263,47,52,3.25,388,False,-1.0
153,1,Saturday,0,3,2076.0,692.0,1.0227272727272727,20,25,6.25,58,False,2.0
154,1,Monday,16,7,14989.44,2141.348571428572,0.3910614525139665,66,10,1.1111111111111112,507,False,1.0
155,1,Monday,16,7,6432.2,918.8857142857142,1.2,20,116,7.25,145,False,-1.0
156,1,Monday,18,1,2700.0,2700.0,1.0,42,1,1.0,0,False,0.0
157,1,Monday,18,1,2520.0,2520.0,1.0,22,2,2.0,0,False,0.0
158,1,Monday,18,1,359.58,359.58,1.0,2,1,1.0,0,False,0.0
159,1,Monday,18,1,899.0,899.0,1.0,8,1,1.0,0,False,0.0
160,1,Monday,17,1,305.76,305.76,1.0,26,14,7.0,0,False,2.0
161,1,Wednesday,10,5,4133.24,826.6479999999998,0.4109589041095891,157,10,1.25,335,False,1.0
162,1,Monday,13,3,1434.0,478.0,0.13657056145675267,13,38,2.9230769230769234,629,False,1.0
163,1,Monday,17,1,852.0,852.0,1.0,32,1,1.0,0,False,0.0
164,1,Monday,10,5,3405.48,681.0959999999999,0.9554140127388536,4,8,1.6,127,False,1.0
165,1,Friday,11,7,11389.48,1627.0685714285714,0.726643598615917,13,132,3.6666666666666665,259,False,-1.0
166,1,Thursday,9,14,7278.08,519.8628571428571,0.631578947368421,4,16,1.0666666666666669,635,False,-1.0
167,1,Wednesday,0,5,6748.880000000001,1349.7760000000005,0.4672897196261683,123,6,1.2,291,False,1.0
168,1,Monday,1,8,14241.7,1780.2125,0.4444444444444444,31,191,8.304347826086957,510,False,-1.0
169,1,Monday,15,1,357.06,357.06,1.0,23,2,1.0,0,False,0.0
170,1,Monday,15,1,1330.0,1330.0,1.0,19,2,1.0,0,False,0.0
171,2,Monday,12,10,6481.480000000001,648.148,0.7751937984496123,5,10,1.0,357,False,-1.0
172,2,Monday,12,2,5287.5,2643.75,0.3045685279187817,54,5,1.0,167,False,1.0
173,2,Monday,12,6,4064.0,677.3333333333334,0.9523809523809524,103,58,5.8,159,False,2.0
174,2,Monday,14,2,1419.18,709.59,0.1851851851851852,29,13,1.625,294,False,1.0
175,2,Thursday,16,8,10858.0,1357.25,0.8108108108108107,88,9,1.125,266,False,1.0
176,2,Friday,12,3,3692.56,1230.8533333333332,0.7758620689655172,59,4,1.3333333333333333,86,False,1.0
177,2,Monday,14,2,1025.8,512.9,1.1111111111111112,23,5,1.6666666666666667,24,False,0.0
178,2,Monday,14,1,247.5,247.5,1.0,20,3,3.0,0,False,0.0
179,2,Sunday,13,4,6748.0,1687.0,0.8053691275167785,29,140,6.363636363636362,119,False,-1.0
180,2,Monday,21,11,3234.75,294.0681818181818,1.6666666666666667,40,99,1.337837837837838,168,False,-1.0
181,2,Monday,13,3,1702.32,567.4399999999998,1.0344827586206895,10,4,1.3333333333333333,57,False,0.0
182,2,Monday,13,3,2173.62,724.54,0.3543307086614173,2,4,1.0,224,False,1.0
183,2,Monday,13,1,899.0,899.0,1.0,8,1,1.0,0,False,0.0
184,2,Monday,9,3,845.5799999999998,281.86,0.7894736842105263,103,3,1.0,84,False,0.0
185,2,Tuesday,13,12,11951.92,995.9933333333332,0.703125,169,81,4.764705882352942,482,False,-1.0
186,2,Monday,21,7,6160.61,880.0871428571428,0.7191780821917809,89,19,2.7142857142857144,262,False,1.0
187,2,Sunday,9,24,8372.05,348.8354166666666,4.161849710982659,111,250,6.25,143,False,-1.0
188,2,Monday,12,1,1789.8,1789.8,1.0,17,24,12.0,0,False,2.0
189,2,Monday,12,1,843.96,843.96,1.0,5,2,2.0,0,False,0.0
190,2,Friday,12,10,6511.59,651.159,0.9063444108761328,47,44,1.8333333333333333,301,False,-1.0
191,2,Monday,9,3,3390.0,1130.0,1.1842105263157896,27,36,12.0,46,False,2.0
192,2,Tuesday,9,9,23779.0,2642.1111111111113,0.8970099667774086,3,10,1.1111111111111112,271,False,1.0
193,2,Tuesday,22,5,9130.6,1826.12,0.3816793893129771,85,6,1.2,363,False,1.0
194,2,Monday,11,3,13863.12,4621.04,0.75,34,6,2.0,90,False,-1.0
195,2,Monday,11,1,1296.0,1296.0,1.0,40,48,48.0,0,False,-1.0
196,2,Wednesday,11,17,9378.0,551.6470588235294,0.9845559845559846,28,97,3.2333333333333334,488,False,-1.0
197,2,Monday,7,2,2523.16,1261.58,0.9375,15,24,8.0,34,False,2.0
198,2,Monday,10,6,6287.219999999998,1047.87,0.9473684210526316,4,47,4.7,160,False,2.0
199,2,Monday,11,1,274.56,274.56,1.0,24,1,1.0,0,False,0.0
200,2,Monday,0,4,3841.2,960.3,2.727272727272727,28,120,20.0,14,False,-1.0
201,2,Sunday,21,7,6683.3600000000015,954.7657142857145,0.5412371134020618,10,28,1.6470588235294117,358,False,1.0
202,2,Monday,10,1,301.47,301.47,1.0,39,1,1.0,0,False,0.0
203,2,Tuesday,14,5,2064.76,412.95200000000006,0.4761904761904762,4,6,1.2,285,False,1.0
204,2,Monday,10,3,3814.84,1271.6133333333335,0.4090909090909091,10,9,1.0,190,False,1.0
205,2,Monday,10,1,1188.0,1188.0,1.0,7,36,12.0,0,False,2.0
206,2,Monday,10,1,653.76,653.76,1.0,10,11,5.5,0,False,0.0
207,2,Monday,9,2,875.76,437.88,0.9523809523809524,10,2,1.0,33,False,0.0
208,2,Monday,9,2,385.4,192.7,1.7647058823529411,15,5,2.5,4,False,3.0
209,2,Monday,9,4,2993.74,748.4350000000002,0.7317073170731707,10,6,1.5,134,False,1.0
210,2,Monday,9,1,1584.0,1584.0,1.0,36,48,24.0,0,False,-1.0
211,2,Sunday,8,3,1940.9,646.9666666666667,0.13636363636363635,31,42,3.0,630,False,1.0
212,2,Monday,11,10,11844.72,1184.472,0.4622496147919877,98,18,1.0588235294117647,619,False,-1.0
213,2,Monday,7,1,421.98,421.98,1.0,5,1,1.0,0,False,0.0
214,2,Monday,7,1,2139.2,2139.2,1.0,47,75,8.333333333333334,0,False,2.0
215,2,Monday,10,12,4717.48,393.1233333333333,0.9498680738786278,18,13,1.0833333333333333,349,False,-1.0
216,2,Monday,6,3,2014.0,671.3333333333334,0.6428571428571429,10,3,1.0,110,False,1.0
217,2,Monday,10,3,2295.78,765.2599999999999,0.5172413793103449,14,6,2.0,144,False,1.0
218,2,Sunday,13,2,1967.0,983.5,0.2298850574712644,58,2,1.0,231,False,1.0
219,2,Sunday,23,1,767.52,767.52,1.0,10,2,1.0,0,False,0.0
220,2,Sunday,23,1,1030.0,1030.0,1.0,58,1,1.0,0,False,0.0
221,2,Sunday,23,1,1078.74,1078.74,1.0,51,3,3.0,0,False,0.0
222,2,Wednesday,15,5,1929.4,385.88,0.6224066390041494,31,31,3.4444444444444446,211,False,1.0
223,2,Sunday,10,4,3403.08,850.77,0.9230769230769228,10,5,1.0,100,False,1.0
224,2,Sunday,22,1,359.58,359.58,1.0,2,1,1.0,0,False,0.0
225,2,Tuesday,11,6,12830.76,2138.46,1.0344827586206895,34,6,1.0,144,False,1.0
226,2,Monday,12,3,1712.6,570.8666666666667,0.7142857142857143,14,19,3.8,96,False,1.0
227,2,Sunday,21,1,899.0,899.0,1.0,8,1,1.0,0,False,0.0
228,2,Monday,12,12,15053.479999999998,1254.4566666666665,0.6679035250463823,90,19,1.1875,509,False,-1.0
229,2,Sunday,0,5,2313.26,462.652,0.35545023696682465,39,6,1.0,392,False,1.0
230,2,Sunday,20,2,961.0,480.5,0.2390438247011952,29,21,2.1,221,False,1.0
231,2,Sunday,20,1,274.56,274.56,1.0,38,1,1.0,0,False,0.0
232,2,Sunday,20,1,899.0,899.0,1.0,8,1,1.0,0,False,0.0
233,2,Sunday,20,1,178.0,178.0,1.0,27,2,1.0,0,False,0.0
234,2,Monday,15,4,2749.74,687.435,0.35820895522388063,5,6,1.2,305,False,1.0
235,2,Sunday,19,2,743.0,371.5,1.818181818181818,20,9,1.8,3,False,3.0
236,2,Saturday,22,4,1077.5,269.375,0.4095563139931741,72,15,1.6666666666666667,263,False,1.0
237,2,Sunday,19,1,165.0,165.0,1.0,20,2,2.0,0,False,0.0
238,2,Sunday,12,3,2033.1,677.6999999999998,1.3235294117647058,13,44,6.2857142857142865,38,False,2.0
239,2,Friday,18,16,11069.659999999998,691.8537499999999,1.1111111111111112,4,86,2.3888888888888893,402,False,-1.0
240,2,Friday,11,3,5901.84,1967.28,1.343283582089552,19,85,21.25,37,False,-1.0
241,2,Sunday,16,1,478.76,478.76,1.0,71,2,1.0,0,False,0.0
242,2,Sunday,15,1,1030.0,1030.0,1.0,58,1,1.0,0,False,0.0
243,2,Tuesday,18,7,5411.74,773.1057142857143,0.5660377358490566,46,76,6.909090909090909,341,False,2.0
244,2,Saturday,10,9,6279.280000000002,697.6977777777779,1.1440677966101696,2,14,1.4,206,False,3.0
